u,v,Dij
10,513,0.05164512338425382
10,520,0.0514021497628055
10,529,0.04921222773209466
10,531,0.050584415584415586
10,557,0.0512326656394453
10,560,0.051503990178023325
10,583,0.04978514426028238
10,585,0.050209459049238056
10,607,0.0510862818125388
10,609,0.049655500118793064
10,618,0.04935543278084715
10,632,0.049600672551492225
10,635,0.050460405156537755
10,637,0.05015518311607697
10,638,0.051012891344383055
10,645,0.05027017181713314
10,646,0.05154573731987558
10,654,0.049480574070738005
10,659,0.05027932960893855
10,660,0.05178582637624757
10,667,0.05084426589667943
10,671,0.05184859707488544
10,672,0.051503990178023325
10,696,0.05015518311607697
10,703,0.050654853620955315
10,704,0.050093109869646185
10,711,0.049764982373678025
10,714,0.0494205248303609
